Date,direction,signal,actual_return,raw_pnl_pct,net_pnl_pct,net_pnl_usd,equity,pos_frac,agreement,month
2024-02-05,BUY,1,0.43442015304557813,0.43442015304557813,0.3644201530455781,36.44201530455781,100036.44201530456,0.1,1,2024-02
2024-12-20,BUY,1,-0.6238788240719106,-0.6238788240719106,-0.6938788240719107,-69.4131687499174,99967.02884655465,0.1,1,2024-12
2025-07-16,BUY,1,-0.3698703159955241,-0.3698703159955241,-0.4398703159955241,-43.97252856786767,99923.05631798677,0.1,1,2025-07
2025-11-05,BUY,1,-0.0100531738679521,-0.0100531738679521,-0.0800531738679521,-7.999157800840965,99915.05716018594,0.1,1,2025-11
2026-01-09,SELL,-1,0.0,-0.0,-0.06999999999999999,-6.994054001213017,99908.06310618472,0.1,1,2026-01
2026-01-14,SELL,-1,-0.21615546813174008,0.21615546813174008,0.14615546813174007,14.602109733419859,99922.66521591814,0.1,1,2026-01
2026-01-27,SELL,-1,0.0,-0.0,-0.06999999999999999,-6.99458656511427,99915.67062935303,0.1,1,2026-01
2026-01-28,SELL,-1,0.3168817786714406,-0.3168817786714406,-0.3868817786714406,-38.65555237023392,99877.01507698279,0.1,1,2026-01
2026-01-29,SELL,-1,0.0,-0.0,-0.06999999999999999,-6.991391055388795,99870.0236859274,0.1,1,2026-01
2026-01-30,SELL,-1,-1.9389444883695095,1.9389444883695095,1.8689444883695097,186.6515303211464,100056.67521624855,0.1,1,2026-01
2026-03-04,SELL,-1,-1.0722313294558417,1.0722313294558417,1.0022313294558418,100.27993462291215,100156.95515087146,0.1,1,2026-03
2026-03-10,SELL,-1,-1.1912784794927855,1.1912784794927855,1.1212784794927857,112.30383838219629,100269.25898925366,0.1,1,2026-03
2026-03-12,SELL,-1,-1.2373393624492413,1.2373393624492413,1.1673393624492414,117.04825286177324,100386.30724211544,0.1,1,2026-03
2026-03-16,SELL,-1,0.1401682018422168,-0.1401682018422168,-0.2101682018422168,-21.098009682655707,100365.20923243278,0.1,1,2026-03
